id,text,mes_date,views,mes_title,mes_description
51,analyst ecommerce senior business analyst e commerce rb специализирующаяся производстве товаров дома средств уходу здоровьем личной гигиене форма отклика,2018-04-11 09:00:20+00:00,381.0,none,none
52,analyst remotework старший аналитик research analyst обе удаленку humaniq области финансовых технологий занимается созданием внедрением банка 4 0 основе технологии блокчейн топ 20 блокчейн проектов прошлого года резюме присылать,2018-04-11 11:00:55+00:00,420.0,none,none
53,analyst data gamedev data analyst social quantum ведущих разработчиков издателей игровых приложений социальных сетей мобильных платформ спб форма отклика,2018-04-11 13:01:09+00:00,461.0,none,none
54,analyst data remotework data analyst skyeng возможна удаленная работа екатерина быкова резюме присылайте почту,2018-04-11 15:01:13+00:00,471.0,none,none
55,strategy analyst head driver retention отвечать стратегическое развитие аналитику uber яндекс такси владимир гусев откликнуться владимиру,2018-04-12 13:10:27+00:00,396.0,none,none
56,руководитель отдела аналитики bi проекте лидеров отрасли highload аудитория 30 млн месяц большая продуктовая линейка развиваем c2c b2c направления задачи курирование деятельности группы аналитиков постановка задач контроль качества исполнения сбор структурирование бизнес требований отчетности данным разработка автоматизация оперативной отчетности тестирование сверка отчетности данных обеспечение проверки качества данных требования условия вакансияnewhr analyst bi,2018-04-13 07:58:39+00:00,384.0,вакансия руководитель отдела аналитики bi от new hr,highload проект один из лидеров отрасли 
57,analyst marketing product gamedev руководитель отдела маркетинговой аналитики продуктовый аналитик game insight разработчик издатель игр мобильных телефонов социальных сетей резюме присылать сайт компании,2018-04-13 10:12:23+00:00,404.0,none,none
58,datascientist data scientist headhunter александр сидоров откликнуться александру hh,2018-04-13 12:04:41+00:00,448.0,none,none
59,analyst marketing маркетинговый аналитик markswebb агентство специализируется исследованиях аудите консалтинге области развития эффективных интернет продуктов ключевым направлением деятельности агентства является консалтинг аналитика электронных финансовых сервисов интернет магазинов онлайн медиа контакты,2018-04-13 13:15:05+00:00,493.0,none,none
60,analyst web analyst ozon форма отклика,2018-04-16 08:03:17+00:00,396.0,none,none
61,analyst delivery руководитель группы веб онлайн аналитики analyst delivery business planning lamoda откликнуться сайт компании,2018-04-16 10:21:36+00:00,441.0,none,none
62,analyst python ml datascience data scientist ml python domclick сервис поиска покупки недвижимости ипотеку сбербанка форма отклика,2018-04-16 12:22:54+00:00,438.0,none,none
63,datascientist analyst data scientist mediascope исследовательская осуществляет полный цикл работ области измерений аудитории мониторинга рекламы тв интернет радио прессе форма отклика,2018-04-17 07:30:04+00:00,360.0,none,none
64,analyst аналитик śtrikh group агентство маркетингового стратегического консалтинга работающие lg touch bank мираторг м видео др vasiliy podkopaev откликнуться василию,2018-04-17 08:26:06+00:00,382.0,none,none
65,всем привет наш традиционный дайджест вакансий диджитал аналитиков текущем дайджесте яндекс такси uber headhunter game insight humaniq skyeng lamoda social quantum ozon domclick др удаленку блокчейн проекты крупные классифайды деливери сервисы т д следить новыми вакансиями телеграм канал группа вконтакте группа фейсбуке разместить вакансию,2018-04-17 09:06:03+00:00,419.0,none,none
66,analyst datascientist data analyst data scientist ml python разработчик appfollow сервис мониторинг активности приложений app store google play т д возможна удаленка анатолий шарифулин откликнуться написав анатолию,2018-04-17 10:58:10+00:00,452.0,none,none
67,analyst datascientist data scientist data analyst трамплин технологический стартап области адресуемого медиа марина кирина откликнуться марине сайте,2018-04-17 12:26:32+00:00,476.0,none,none
68,analyst аналитик маркетолог школу бюро дизайн бюро илья синельников откликнуться илье почту,2018-04-18 08:00:21+00:00,423.0,none,none
69,analyst lead operations analyst gettaxi татьяна аристова почту,2018-04-18 09:15:33+00:00,456.0,none,none
70,analyst ml специалист области машинного обучения competentum международная группа компаний поставщик услуг сфере электронного обучения e learning высшего образования бизнеса сша европе форма отклика,2018-04-18 10:18:51+00:00,518.0,none,none
71,analyst gamedev аналитик разработчик innova издатель компьютерных мобильных игр форма отклика,2018-04-18 12:07:45+00:00,551.0,none,none
72,analyst datascientist руководитель проектов data science b2b center занимающаяся электронными торгами секторе b2b форма отклика,2018-04-19 08:07:47+00:00,528.0,none,none
73,analyst продуктовый аналитик ifunny крупнейших развлекательных сервисов америке представляющий собой комьюнити построенное вокруг мемов также входит топ 10 развлекательных приложений сша успешную рекомендацию платят 3000 михаил табунов резюме присылать,2018-04-19 14:40:05+00:00,530.0,none,none
74,analyst продуктовый аналитик старший аналитик аналитик яндекс такси константин сарафанов резюме присылать сайт яндекса,2018-04-20 09:01:55+00:00,533.0,none,none
75,analyst datascientist remotework data scientist surf студия разработке ios android приложений входят топ 10 компаний сфере возможна удаленная работа резюме присылать почту,2018-04-20 12:30:33+00:00,534.0,none,none
76,analyst bigdata big data аналитик рекламу мтс форма отклика,2018-04-23 08:32:51+00:00,446.0,none,none
77,analyst аналитик tvzavr крупнейших интернет кинотеатров россии форма отклика,2018-04-23 10:34:25+00:00,468.0,none,none
78,analyst web аналитик creativepeople креативное агентство полного цикла елена ханова откликнуться елене почту,2018-04-23 13:00:35+00:00,486.0,none,none
79,analyst аналитик продукта правовед ру самым крупным известным проектом является онлайн сервис юридических консультаций ежемесячной посещаемостью 4 х млн человек спб форма отклика,2018-04-24 08:08:59+00:00,417.0,none,none
80,всем привет наш традиционный дайджест вакансий диджитал аналитиков текущем дайджесте gettaxi яндекс такси appfollow ifunny innova мтс др удаленку блокчейн проекты крупные классифайды деливери сервисы т д следить новыми вакансиями телеграм канал группа вконтакте группа фейсбуке разместить вакансию,2018-04-24 11:01:31+00:00,479.0,daidzhiest vakansii dlia digital analitikov s 16 po 24 aprielia,new hr вручную собрал для вас самые интересные вакансии для digital аналитиков за последнюю неделю все вакансии из проверенных ит и диджитал компаний
81,analyst data data analyst билайн откликнуться круг,2018-04-24 12:01:22+00:00,515.0,none,none
82,analyst datascience руководитель отдела data science youdo сервис который позволяет находить помощью веб версии мобильных приложений исполнителей решения бытовых бизнес задач форма отклика,2018-04-24 13:57:17+00:00,557.0,none,none
83,analyst веб аналитик alpari одна ведущих компаний предлагающих форекс трейдинг россии hh,2018-04-25 10:02:43+00:00,508.0,none,none
84,analyst remotework мобильный аналитик profi рекомендательный сервис подбору частных специалистов удаленная работа форма отклика,2018-04-25 12:00:28+00:00,528.0,none,none
85,analyst analytical consultant google московский офис откликнуться сайт компании,2018-04-26 10:10:05+00:00,482.0,none,none
