id,text,mes_date,views,mes_title,mes_description
33, вакансия analyst руководитель отдела аналитики head of operation analysts в skyeng ищет глеб сологуб его пост описание вакансии откликнуться можно через hh ru или глебу в личку,2018-03-29 11:59:59+00:00,1669.0,none,none
34, вакансия analyst marketing web analyst в wrike популярный сервис для управления проектами и совместной работы ищет родион насакин его пост описание вакансии вакансия в спб откликнуться можно через hh ru и родиону в личку,2018-03-29 14:00:16+00:00,1567.0,none,none
35, вакансия analyst bi head head of bi в growfood ит компания которая производит и доставляет правильное здоровое питание для жителей москвы и санкт петербурга описание вакансии ищет александра кондрашова откликнуться можно ей в личку и на,2018-03-29 15:01:21+00:00,421.0,none,none
36, вакансия analyst data analyst в criteo мировой лидер электронного маркетинга ищет наташа гришкина ее пост описание вакансии откликнуться можно наталье в личку и через сайт criteo,2018-03-30 11:05:10+00:00,1543.0,none,none
37, вакансия datascience data scientist в pulsepoint американская компания которая занимается онлайн рекламой с уклоном в health индустрию и поиска пациентов для клинических испытаний ищет дмитрий спихальский его пост откликнуться можно дмитрию в личку,2018-03-30 12:57:46+00:00,382.0,none,none
38, вакансия analyst бизнес аналитик на на новое направление цифровых активов в компании мтс описание вакансии ищет ольга катина ее пост откликаться ольге в личку,2018-03-30 14:00:08+00:00,1726.0,none,none
39, руководитель исследовательского центра исследования рынка бизнес аналитика маркет ресерч про проект крупный классифайд сервис ежемесячная аудитория более 10 млн человек задачи организовывать работу центра управлять портфелем исследовательских проектов разрабатывать различные форматы коммерческих исследований обзоры рынка аналитика з плат привлекательность бренда работодателя hr аналитика и т д инициировать и запускать новые форматы и темы исследований строить дизайн исследований и выбирать методологию с соответствии с бизнес потребностями и целями компании и клиентов развивать инструменты для проведения количественных и качественных исследований предоставлять экспертные консультации по вопросам исследований и связанными с ними вопросами маркетинга отвечать за коммерческие показатели подразделения подробнее про требования и условия вакансияnewhr analyst marketresearch chief,2018-04-02 06:30:35+00:00,1781.0,вакансия руководитель исследовательского центра от new hr,исследования рынка бизнес аналитика маркет ресерч крупный классифайд сервис
40, вакансия analyst аналитик данных в яндекс недвижимость ищет владимир горовой его пост описание вакансии форма для отклика исследователь аналитик в студию транспортного проектирования ищет лёля жвирблис ее пост откликнуться можно ей в личку,2018-04-02 13:29:59+00:00,1577.0,none,none
41, старший аналитик продуктовая аналитика бизнес аналитика про проект крупный классифайд сервис ежемесячная аудитория более 10 млн человек задачи обеспечивать различные подразделения компании аналитикой необходимой для принятия решений высший менеджмент продуктовые команды sales маркетинг определять продуктовые метрики формулировать гипотезы по их улучшению проводить продуктовые эксперименты и a b тесты искать точки роста продукта следить за аномалиями пользовательского поведения участвовать в тарифной политике и ценообразовании компании сегментировать клиентов на основании ltv nps проводить исследования оттока клиентов оценивать долю рынка анализировать данные на сайте и в приложении следить за конверсией анализировать маркетинговые активности улучшать отчетность поддерживать существующие дашборды и создавать новые подробнее про требования и условия вакансияnewhr analyst,2018-04-03 06:30:01+00:00,1544.0,вакансия старший аналитик от new hr,продуктовая аналитика бизнес аналитика крупный классифайд сервис
42, вакансия analyst product analyst в qlean ищет валерия коваленко ее пост резюме присылать на,2018-04-03 09:50:51+00:00,422.0,none,none
43, вакансия analyst руководитель отдела аналитики product marketing в docdoc сервис записи к врачу ищет ася цветкова ее пост откликнуться можно асе в личку,2018-04-03 13:48:46+00:00,418.0,none,none
44, вакансия analyst gamedev несколько вакансий для аналитиков ведущий маркетинговый аналитик в pixonic российская компания разработчик мобильных игр описание вакансии ищет дарья корякина ее пост откликнуться можно на или через сайт компании главный аналитик ведущий аналитик просто хороший аналитик в почта банк ищет тимофей барсов его пост резюме присылать тимофею в личку аналитик в devtodev это универсальная аналитическая платформа для разработчиков мобильных и веб приложений которая позволит вам получать полную информацию от статистики маркетов до подробной аналитики поведения пользователей вашего приложения ищет василий сабиров его пост резюме присылать на аналитик в scentbird российский стартап в 2015 году прошедший программу акселерации в y combinator и привлёкший 1 млн на развитие проект продаёт пробники мужских и женских дизайнерских духов по подписке ищет олег попов его пост за подробностями к нему в личку,2018-04-05 10:01:29+00:00,2469.0,none,none
45, вакансия analyst bi несколько вакансий для аналитиков senior analyst поиск и e com аналитик в бэк офис аналитик e mail portal в юлу ищет андрей демидов его пост откликаться через hh ru,2018-04-06 11:39:54+00:00,517.0,none,none
48, вакансия analyst product analyst в funcorp международная компания занимающаяся разработкой и инвестированием развлекательных сервисов ищет ярослав мартыненко описание вакансии форма для отклика за успешную рекомендацию 0 3 биткоина или 3000,2018-04-09 10:56:59+00:00,429.0,none,none
49,23 вакансии для аналитиков дайджест за период с 26 03 по 9 04 18 мы в new hr сделали для вас подборку самых интересных вакансий для аналитиков за последние 2 недели вакансии мы собирали вручную из проверенных ит и диджитал компаний мы размещаем их со ссылками на профили руководителей которые ищут себе кандидатов и с неформальным описанием вакансий в текущей подборке вакансии от google яндекс skyeng pixonic funcorp grow food и др для размещения вакансии в канале пишите ,2018-04-10 08:21:02+00:00,492.0,23 вакансии для аналитиков,мы в new hr сделали для вас подборку самых интересных вакансий для аналитиков за последние 2 недели вакансии мы собирали вручную из проверенных ит и диджитал компаний мы размещаем их со ссылками на профили руководителей которые ищут себе кандидатов и с неформальным описанием вакансий в текущей подборке вакансии от google яндекс skyeng pixonic funcorp grow food и др чтобы следить за новыми вакансиями ежедневно подписывайтесь на наш канал for analysts для размещения вакансии в канале пишите 
50, рекомендуем analyst learning учебный симулятор управления продуктов для продуктового аналитика автор олег якубенков аналитик msqrd и директор по продуктам api ai куплена google а до этого zeptolab пост с деталями ,2018-04-11 07:00:06+00:00,402.0,курс управления продуктом на основе аналитики профессия product manager go practice симулятор,это не обычный курс а симулятор работы в продуктовой компании вам предстоит развивать продукт анализировать реальные данные в системах аналитики и принимать решения 
51, вакансия analyst ecommerce senior business analyst e commerce в rb компания специализирующаяся на производстве товаров для дома средств по уходу за здоровьем и личной гигиене описание вакансия форма для отклика,2018-04-11 09:00:20+00:00,381.0,none,none
52, вакансия analyst remotework старший аналитик research analyst обе вакансии на удаленку в humaniq компания в области финансовых технологий занимается созданием и внедрением банка 4 0 на основе технологии блокчейн один из топ 20 блокчейн проектов прошлого года резюме присылать на,2018-04-11 11:00:55+00:00,420.0,none,none
53, вакансия analyst data gamedev data analyst в social quantum один из ведущих разработчиков и издателей игровых приложений для социальных сетей и мобильных платформ вакансия в спб описание вакансии форма для отклика,2018-04-11 13:01:09+00:00,461.0,none,none
54, вакансия analyst data remotework data analyst в skyeng описание вакансии возможна удаленная работа ищет екатерина быкова резюме присылайте ей на почту,2018-04-11 15:01:13+00:00,471.0,none,none
55, вакансия strategy analyst head of driver retention отвечать за стратегическое развитие и аналитику в uber яндекс такси ищет владимир гусев его пост откликнуться можно владимиру в личку,2018-04-12 13:10:27+00:00,396.0,none,none
56, руководитель отдела аналитики bi о проекте один из лидеров отрасли highload аудитория более 30 млн в месяц большая продуктовая линейка развиваем как c2c так и b2c направления задачи курирование деятельности группы аналитиков постановка задач и контроль качества их исполнения сбор и структурирование бизнес требований к отчетности и данным разработка и автоматизация оперативной отчетности тестирование и сверка отчетности и данных обеспечение проверки качества данных подробнее про требования и условия вакансияnewhr analyst bi,2018-04-13 07:58:39+00:00,384.0,вакансия руководитель отдела аналитики bi от new hr,highload проект один из лидеров отрасли 
57, вакансия analyst marketing product gamedev руководитель отдела маркетинговой аналитики продуктовый аналитик в game insight разработчик и издатель игр для мобильных телефонов и социальных сетей резюме присылать через сайт компании,2018-04-13 10:12:23+00:00,404.0,none,none
58, вакансия datascientist data scientist в headhunter описание вакансии ищет александр сидоров его пост откликнуться можно александру в личку или через hh ru,2018-04-13 12:04:41+00:00,448.0,none,none
59, вакансия analyst marketing маркетинговый аналитик в markswebb агентство специализируется на исследованиях аудите и консалтинге в области развития эффективных интернет продуктов ключевым направлением деятельности агентства является консалтинг и аналитика для электронных финансовых сервисов интернет магазинов и онлайн медиа описание вакансии контакты,2018-04-13 13:15:05+00:00,493.0,none,none
60, вакансия analyst web analyst в ozon ru описание вакансии форма для отклика,2018-04-16 08:03:17+00:00,396.0,none,none
61, вакансия analyst delivery руководитель группы веб и онлайн аналитики analyst delivery business planning в lamoda откликнуться можно через сайт компании,2018-04-16 10:21:36+00:00,441.0,none,none
62, вакансия analyst python ml datascience data scientist ml python в domclick сервис для поиска и покупки недвижимости в ипотеку от сбербанка описание вакансии форма для отклика,2018-04-16 12:22:54+00:00,438.0,none,none
63, вакансия datascientist analyst data scientist в mediascope исследовательская компания осуществляет полный цикл работ в области измерений аудитории и мониторинга рекламы в тв интернет радио и прессе описание вакансии форма для отклика,2018-04-17 07:30:04+00:00,360.0,none,none
64, вакансия analyst аналитик в śtrikh group агентство маркетингового и стратегического консалтинга работающие с lg touch bank мираторг м видео и др ищет vasiliy podkopaev его пост откликнуться можно василию в личку ,2018-04-17 08:26:06+00:00,382.0,none,none
65,всем привет наш традиционный дайджест вакансий для диджитал аналитиков в текущем дайджесте вакансии от яндекс такси uber headhunter game insight humaniq skyeng lamoda social quantum ozon domclick и др есть вакансии на удаленку в санкт петербург в блокчейн проекты в крупные классифайды деливери сервисы и т д следить за новыми вакансиями телеграм канал группа вконтакте группа в фейсбуке разместить вакансию ,2018-04-17 09:06:03+00:00,419.0,none,none
66, вакансия analyst datascientist data analyst data scientist ml python разработчик в appfollow сервис мониторинг активности приложений в app store google play и т д возможна удаленка ищет анатолий шарифулин его пост откликнуться можно написав анатолию в личку,2018-04-17 10:58:10+00:00,452.0,none,none
67, вакансия analyst datascientist data scientist data analyst в трамплин технологический стартап в области адресуемого медиа ищет марина кирина ее пост откликнуться можно марине в личку или на сайте,2018-04-17 12:26:32+00:00,476.0,none,none
68, вакансия analyst аналитик маркетолог в школу бюро дизайн бюро подробнее о вакансии ищет илья синельников его пост откликнуться можно илье в личку или на почту,2018-04-18 08:00:21+00:00,423.0,none,none
69, вакансия analyst lead operations analyst в gettaxi ищет татьяна аристова ее пост откликаться на почту,2018-04-18 09:15:33+00:00,456.0,none,none
70, вакансия analyst ml специалист в области машинного обучения в competentum международная группа компаний поставщик услуг в сфере электронного обучения e learning для высшего образования и бизнеса в сша и европе подробнее о вакансии форма для отклика,2018-04-18 10:18:51+00:00,518.0,none,none
71, вакансия analyst gamedev аналитик разработчик в innova издатель компьютерных и мобильных игр подробнее о вакансии форма для отклика,2018-04-18 12:07:45+00:00,551.0,none,none
72, вакансия analyst datascientist руководитель проектов data science в b2b center компания занимающаяся электронными торгами в секторе b2b подробнее о вакансии форма для отклика,2018-04-19 08:07:47+00:00,528.0,none,none
73, вакансия analyst продуктовый аналитик в ifunny один из крупнейших развлекательных сервисов в америке представляющий собой комьюнити построенное вокруг мемов а также входит в топ 10 развлекательных приложений сша за успешную рекомендацию платят 3000 описание вакансии ищет михаил табунов его пост резюме присылать на,2018-04-19 14:40:05+00:00,530.0,none,none
74, вакансия analyst продуктовый аналитик старший аналитик аналитик в яндекс такси ищет константин сарафанов его пост резюме присылать через сайт яндекса,2018-04-20 09:01:55+00:00,533.0,none,none
75, вакансия analyst datascientist remotework data scientist в surf студия по разработке ios android приложений входят в топ 10 компаний в этой сфере возможна удаленная работа описание вакансии резюме можно присылать на почту,2018-04-20 12:30:33+00:00,534.0,none,none
76, вакансия analyst bigdata big data аналитик на рекламу в мтс описание вакансии форма для отклика,2018-04-23 08:32:51+00:00,446.0,none,none
77, вакансия analyst аналитик в tvzavr один из крупнейших интернет кинотеатров россии описание вакансии форма для отклика,2018-04-23 10:34:25+00:00,468.0,none,none
78, вакансия analyst web аналитик в creativepeople креативное агентство полного цикла описание вакансии ищет елена ханова ее пост откликнуться можно елене в личку или на почту,2018-04-23 13:00:35+00:00,486.0,none,none
79, вакансия analyst аналитик продукта в правовед ру it компания самым крупным и известным их проектом является онлайн сервис юридических консультаций с ежемесячной посещаемостью более 4 х млн человек спб описание вакансии форма для отклика,2018-04-24 08:08:59+00:00,417.0,none,none
80,всем привет наш традиционный дайджест вакансий для диджитал аналитиков в текущем дайджесте вакансии от gettaxi яндекс такси appfollow ifunny innova мтс и др есть вакансии на удаленку в санкт петербург в блокчейн проекты в крупные классифайды деливери сервисы и т д следить за новыми вакансиями телеграм канал группа вконтакте группа в фейсбуке разместить вакансию ,2018-04-24 11:01:31+00:00,479.0,daidzhiest vakansii dlia digital analitikov s 16 po 24 aprielia,new hr вручную собрал для вас самые интересные вакансии для digital аналитиков за последнюю неделю все вакансии из проверенных ит и диджитал компаний
81, вакансия analyst data data analyst в билайн описание вакансии откликнуться можно через мой круг ,2018-04-24 12:01:22+00:00,515.0,none,none
82, вакансия analyst datascience руководитель отдела data science в youdo сервис который позволяет находить с помощью веб версии и мобильных приложений исполнителей для решения бытовых и бизнес задач описание вакансии форма для отклика,2018-04-24 13:57:17+00:00,557.0,none,none
83, вакансия analyst веб аналитик в alpari одна из ведущих компаний предлагающих форекс трейдинг в россии описание вакансии откликаться через hh ,2018-04-25 10:02:43+00:00,508.0,none,none
84, вакансия analyst remotework мобильный аналитик в profi ru это рекомендательный сервис по подбору частных специалистов удаленная работа описание вакансии и форма для отклика,2018-04-25 12:00:28+00:00,528.0,none,none
